Category;Zip Code
20006;40543
20032;43415
20020;45919
20052;48333
20019;48485
20064;57012
20057;57500
20018;85274
20374;87500
20011;91310
20017;96439
20515;100000
20010;102994
20024;103925
20037;109314
20036;110004
20319;110714
20002;112496
20373;114063
20005;119900
20012;126782
20009;128977
20001;133320
20008;134932
20510;143750
20004;150000
20003;154466
20007;163337
20016;164937
20059;175000
20015;191383
